frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
0,2019-06-27 15:01:29.073000,0.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
1,2019-06-27 15:01:29.106000,0.033000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
2,2019-06-27 15:01:29.140000,0.067000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
3,2019-06-27 15:01:29.173000,0.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
4,2019-06-27 15:01:29.206000,0.133000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
5,2019-06-27 15:01:29.240000,0.167000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
6,2019-06-27 15:01:29.273000,0.200000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
7,2019-06-27 15:01:29.307000,0.234000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
8,2019-06-27 15:01:29.340000,0.267000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
9,2019-06-27 15:01:29.373000,0.300000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
10,2019-06-27 15:01:29.406000,0.333000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
11,2019-06-27 15:01:29.440000,0.367000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
12,2019-06-27 15:01:29.473000,0.400000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
13,2019-06-27 15:01:29.506000,0.433000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
14,2019-06-27 15:01:29.540000,0.467000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
15,2019-06-27 15:01:29.573000,0.500000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
16,2019-06-27 15:01:29.606000,0.533000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
17,2019-06-27 15:01:29.640000,0.567000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
18,2019-06-27 15:01:29.673000,0.600000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
19,2019-06-27 15:01:29.707000,0.634000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
20,2019-06-27 15:01:29.740000,0.667000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
21,2019-06-27 15:01:29.773000,0.700000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
22,2019-06-27 15:01:29.807000,0.734000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
23,2019-06-27 15:01:29.840000,0.767000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
24,2019-06-27 15:01:29.873000,0.800000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
25,2019-06-27 15:01:29.906000,0.833000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
26,2019-06-27 15:01:29.940000,0.867000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
27,2019-06-27 15:01:29.973000,0.900000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
28,2019-06-27 15:01:30.006000,0.933000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
29,2019-06-27 15:01:30.040000,0.967000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
30,2019-06-27 15:01:30.073000,1.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
31,2019-06-27 15:01:30.107000,1.034000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
32,2019-06-27 15:01:30.140000,1.067000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
33,2019-06-27 15:01:30.173000,1.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
34,2019-06-27 15:01:30.207000,1.134000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
35,2019-06-27 15:01:30.240000,1.167000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
36,2019-06-27 15:01:30.273000,1.200000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
37,2019-06-27 15:01:30.307000,1.234000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
38,2019-06-27 15:01:30.340000,1.267000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
39,2019-06-27 15:01:30.373000,1.300000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
40,2019-06-27 15:01:30.407000,1.334000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
41,2019-06-27 15:01:30.440000,1.367000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
42,2019-06-27 15:01:30.473000,1.400000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
43,2019-06-27 15:01:30.507000,1.434000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
44,2019-06-27 15:01:30.540000,1.467000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
45,2019-06-27 15:01:30.573000,1.500000,7.999660e+01,7.999660e+01,7.999660e+01,8.089190e+01,7.999660e+01,8.080807e+01,7.999660e+01,7.999660e+01
46,2019-06-27 15:01:30.607000,1.534000,7.999660e+01,7.999660e+01,7.999660e+01,8.389799e+01,8.154832e+01,8.118801e+01,7.999660e+01,7.999660e+01
47,2019-06-27 15:01:30.640000,1.567000,7.999660e+01,7.999660e+01,8.038317e+01,1.010285e+02,9.337231e+01,8.323249e+01,8.197440e+01,7.999660e+01
48,2019-06-27 15:01:30.673000,1.600000,8.048014e+01,8.391162e+01,8.690868e+01,1.054725e+02,1.224109e+02,1.030758e+02,7.999660e+01,7.999660e+01
49,2019-06-27 15:01:30.707000,1.634000,8.062338e+01,8.489423e+01,1.081021e+02,1.061596e+02,1.219994e+02,1.011035e+02,7.999660e+01,7.999660e+01
50,2019-06-27 15:01:30.740000,1.667000,8.051330e+01,8.551620e+01,1.101701e+02,1.054917e+02,1.023829e+02,9.399166e+01,7.999660e+01,7.999660e+01
51,2019-06-27 15:01:30.773000,1.700000,8.051330e+01,8.424811e+01,1.395030e+02,1.054443e+02,9.836687e+01,9.232691e+01,7.999660e+01,7.999660e+01
52,2019-06-27 15:01:30.807000,1.734000,8.010003e+01,1.118438e+02,1.260402e+02,1.332375e+02,9.349731e+01,9.768610e+01,7.999660e+01,7.999660e+01
53,2019-06-27 15:01:30.840000,1.767000,8.019020e+01,1.463796e+02,1.093506e+02,1.238143e+02,9.812622e+01,9.924625e+01,7.999660e+01,7.999660e+01
54,2019-06-27 15:01:30.873000,1.800000,8.007741e+01,1.087291e+02,9.715002e+01,1.140122e+02,1.049475e+02,1.177713e+02,7.999660e+01,7.999660e+01
55,2019-06-27 15:01:30.907000,1.834000,8.008872e+01,1.086153e+02,9.280809e+01,1.122936e+02,1.064085e+02,1.063375e+02,7.999660e+01,7.999660e+01
56,2019-06-27 15:01:30.940000,1.867000,8.075461e+01,1.303653e+02,9.547696e+01,1.250295e+02,1.137020e+02,1.072256e+02,8.470139e+01,8.002117e+01
57,2019-06-27 15:01:30.973000,1.900000,9.559962e+01,1.298363e+02,1.075461e+02,1.383613e+02,1.222041e+02,1.377394e+02,1.003616e+02,8.297189e+01
58,2019-06-27 15:01:31.006000,1.933000,1.147496e+02,1.301783e+02,1.303395e+02,1.562312e+02,1.318683e+02,1.518256e+02,1.146362e+02,9.233440e+01
59,2019-06-27 15:01:31.040000,1.967000,1.535492e+02,2.899729e+02,1.432852e+02,1.925333e+02,1.433531e+02,1.649394e+02,1.267199e+02,1.051774e+02
60,2019-06-27 15:01:31.073000,2.000000,1.830343e+02,4.840432e+02,2.145121e+02,2.561713e+02,1.567973e+02,2.001715e+02,1.473338e+02,1.211621e+02
