0,29.612,31.512,33.074,33.619,31.604,34.084,30.166,27.154,20.831,21.551,21.334,21.573,21.05,21.305,20.941,20.083,20.721,21.115,20.831,21.442,20.655,20.501,20.611,19.84,20.238,20.127,20.343,20.281,20.502,20.304,19.818,19.576,19.694,19.951,19.793,19.695,19.707,19.912,19.152,19.082,19.081,19.734,19.473,19.478,19.374,19.438,19.023,18.866,19.359,19.32,19.009,19.352,19.221,19.009,18.759,18.597,18.74,19.181,18.775,19.062,18.597,18.632,18.614,18.489,18.916,18.74,18.991,18.687,18.721,18.597,18.741,18.329,18.998,19.081,18.813,18.722,18.313,18.381,18.705,18.149
0.016,29.727,31.551,33.443,33.541,31.584,34.019,30.266,27.361,20.831,21.529,21.399,21.53,21.181,21.33,21.006,20.127,20.743,21.115,20.941,21.572,20.721,20.523,20.545,19.862,20.238,20.171,20.402,20.368,20.502,20.238,19.907,19.616,19.813,20.106,19.813,19.813,19.951,19.931,19.441,19.102,19.223,19.734,19.366,19.478,19.419,19.477,19.023,18.866,19.379,19.281,19.008,19.597,19.319,19.045,18.776,18.651,18.776,19.082,18.757,19.102,18.633,18.65,18.703,18.507,18.916,18.758,18.955,18.687,18.689,18.4,18.705,18.329,19.03,19.081,18.795,18.723,18.329,18.327,18.705,18.248
0.033,29.932,31.669,33.462,33.869,31.583,34.237,30.72,27.34,20.932,21.551,21.399,21.573,21.181,21.33,21.072,20.193,20.744,21.115,20.875,21.573,20.721,20.567,20.633,19.928,20.26,20.479,20.441,20.501,20.502,20.304,19.907,19.635,19.852,20.172,20.009,19.872,19.929,19.912,19.463,19.28,19.258,19.734,19.348,19.517,19.397,19.458,19.023,18.884,19.379,19.597,19.205,19.619,19.32,19.311,18.884,18.723,18.758,19.241,18.847,19.122,18.704,18.722,18.704,18.507,19.046,18.848,19.009,18.723,18.705,18.632,18.705,18.443,19.063,19.027,18.777,18.741,18.345,18.362,18.687,18.231
0.05,30.023,32.004,33.327,33.888,31.506,34.453,30.7,27.259,20.957,21.638,21.399,21.617,21.789,21.355,21.094,20.215,20.765,21.115,20.831,21.572,20.743,20.763,20.677,19.905,20.282,20.59,20.441,20.436,20.524,20.326,19.863,19.675,19.911,20.216,20.009,19.872,19.929,19.912,19.397,19.261,19.276,19.931,19.384,19.793,19.419,19.418,19.023,18.884,19.379,19.597,19.205,19.575,19.32,19.258,18.884,18.705,18.758,19.201,18.883,19.182,18.722,18.722,18.758,18.525,19.046,18.848,18.973,18.723,18.721,18.597,18.687,18.492,19.063,19.045,18.795,18.759,18.345,18.362,18.776,18.199
0.066,30.092,32.239,33.789,34.232,31.567,35.178,30.899,27.606,20.957,21.768,21.812,21.638,21.747,21.603,21.225,20.259,20.612,21.159,20.809,21.463,20.743,20.764,20.677,20.061,20.326,20.656,20.441,20.347,20.502,20.37,19.841,19.734,19.833,20.436,20.244,19.892,19.929,19.931,19.641,19.34,19.294,19.912,19.685,19.832,19.441,19.537,19.063,18.937,19.399,19.695,19.259,19.641,19.438,19.294,18.955,18.705,18.74,19.142,18.954,19.182,18.758,18.758,18.758,18.507,18.949,18.866,18.973,18.705,18.737,18.579,18.633,18.492,18.916,19.045,18.795,18.759,18.345,18.345,18.776,18.215
0.083,30.206,32.415,33.771,34.748,31.944,35.376,31.274,27.786,21.132,21.984,21.855,21.682,21.876,21.875,21.225,20.282,20.656,21.159,20.809,21.464,20.765,20.918,20.655,20.017,20.304,20.721,20.441,20.413,20.524,20.436,19.796,19.753,19.852,20.458,20.244,19.931,20.128,20.147,19.663,19.537,19.33,19.99,19.543,19.774,19.485,19.714,19.162,18.973,19.439,19.656,19.277,19.641,19.498,19.294,18.991,18.687,18.83,19.161,18.919,19.162,18.669,18.776,18.722,18.507,18.916,18.866,18.973,18.741,18.721,18.597,18.633,18.509,18.916,19.08,18.759,18.812,18.362,18.363,18.615,18.149
0.099,30.275,32.492,34.02,34.938,32.456,36.101,31.922,28.155,21.156,22.071,22.094,21.855,21.92,21.975,21.225,20.436,20.678,21.224,21.071,21.681,21.006,21.027,20.743,20.039,20.436,20.875,20.578,20.567,20.786,20.546,20.238,19.832,19.892,20.458,20.323,20.108,20.26,20.088,19.707,19.557,19.365,20.049,19.862,20.146,19.928,19.812,19.38,18.973,19.577,19.715,19.348,19.796,19.498,19.347,19.008,18.723,18.83,19.201,19.009,19.3,18.687,18.919,18.811,18.507,18.9,18.919,18.973,18.74,18.786,18.65,18.615,18.509,18.9,19.241,18.741,18.777,18.411,18.381,18.669,18.362
0.116,30.866,33.036,35.208,35.376,33.674,36.123,32.881,28.974,21.181,22.049,22.094,21.942,21.898,22.074,21.399,20.436,20.655,21.311,21.42,21.746,21.115,21.027,20.809,20.083,20.48,20.853,20.812,20.676,20.808,20.568,20.26,19.911,19.99,20.458,20.499,20.108,20.216,20.068,19.796,19.577,19.49,20.049,20.126,20.146,19.884,19.793,19.38,19.08,19.577,19.676,19.543,19.774,19.478,19.383,19.24,18.723,18.937,19.181,19.009,19.261,18.722,18.991,18.883,18.453,18.933,19.009,19.045,18.723,18.803,18.704,18.579,18.59,19.03,19.188,18.866,18.812,18.411,18.435,18.669,18.313
0.132,30.933,33.23,35.851,36.074,34.447,36.427,33.733,29.175,21.156,22.179,22.158,22.158,22.158,22.148,21.704,20.458,20.809,21.595,21.681,21.812,21.224,21.224,21.159,20.105,20.48,20.963,20.812,20.764,20.852,20.612,20.282,19.911,20.088,20.589,20.5,20.128,20.26,20.285,19.774,19.656,19.579,20.108,20.091,20.166,19.994,19.852,19.616,19.098,19.596,19.695,19.543,19.796,19.655,19.579,19.347,18.687,18.955,19.201,19.044,19.439,18.722,19.008,18.901,18.453,18.933,19.009,19.009,18.794,18.803,18.722,18.561,18.607,18.949,19.188,18.973,18.83,18.477,18.471,18.687,18.296
0.149,31.045,33.713,36.268,36.829,35.554,37.377,33.752,29.459,21.107,22.136,22.417,22.266,22.331,22.271,21.963,20.7,20.787,21.312,21.659,21.898,21.55,21.42,21.202,20.37,20.502,20.897,20.792,20.808,21.201,20.721,20.392,19.931,20.029,20.633,20.539,20.167,20.567,20.441,19.818,19.675,19.614,20.147,20.126,20.166,19.994,19.891,19.617,19.134,19.596,19.774,19.614,19.796,19.715,19.579,19.418,18.758,18.973,19.261,19.098,19.498,18.722,19.026,18.919,18.488,18.949,19.009,19.081,18.83,18.981,18.758,18.561,18.607,18.949,19.17,18.92,18.83,18.46,18.489,18.687,18.215
