frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
31,2019-06-27 14:48:59.243000,1.067000,7.999660e+01,8.011295e+01,8.015500e+01,1.185064e+02,9.441296e+01,8.716122e+01,8.504671e+01,7.999660e+01
32,2019-06-27 14:48:59.276000,1.100000,8.208684e+01,8.656337e+01,8.775272e+01,1.186667e+02,1.232606e+02,1.012573e+02,8.035598e+01,7.999660e+01
33,2019-06-27 14:48:59.310000,1.134000,8.353318e+01,8.667957e+01,1.060353e+02,1.165558e+02,1.207199e+02,1.065135e+02,8.049146e+01,7.999660e+01
34,2019-06-27 14:48:59.343000,1.167000,8.299272e+01,8.774707e+01,1.083515e+02,1.127507e+02,1.013520e+02,9.470213e+01,7.999660e+01,7.999660e+01
35,2019-06-27 14:48:59.376000,1.200000,8.233115e+01,8.490112e+01,1.309929e+02,1.090197e+02,9.220968e+01,9.304283e+01,8.021009e+01,7.999660e+01
36,2019-06-27 14:48:59.410000,1.234000,8.194185e+01,9.568809e+01,1.248803e+02,1.411681e+02,8.868143e+01,1.004811e+02,7.999660e+01,7.999660e+01
37,2019-06-27 14:48:59.443000,1.267000,8.160668e+01,1.476304e+02,1.076180e+02,1.348479e+02,9.030102e+01,9.495954e+01,7.999660e+01,7.999660e+01
38,2019-06-27 14:48:59.476000,1.300000,8.250078e+01,1.239957e+02,9.840265e+01,1.301294e+02,1.035797e+02,1.189228e+02,8.047346e+01,7.999660e+01
39,2019-06-27 14:48:59.510000,1.334000,9.008115e+01,1.287345e+02,1.056361e+02,1.346122e+02,1.206187e+02,1.283432e+02,9.049635e+01,7.999660e+01
40,2019-06-27 14:48:59.543000,1.367000,1.194076e+02,1.422709e+02,1.327245e+02,1.527994e+02,1.366487e+02,1.325820e+02,1.054685e+02,9.235842e+01
41,2019-06-27 14:48:59.576000,1.400000,1.356394e+02,1.636691e+02,1.510199e+02,1.662161e+02,1.447458e+02,1.447619e+02,1.156870e+02,1.058921e+02
42,2019-06-27 14:48:59.610000,1.434000,1.765853e+02,3.058908e+02,1.680583e+02,1.747003e+02,1.533481e+02,1.596763e+02,1.312668e+02,1.162497e+02
43,2019-06-27 14:48:59.643000,1.467000,2.061564e+02,5.157977e+02,2.875805e+02,3.486129e+02,1.880545e+02,2.329792e+02,1.473431e+02,1.259784e+02
44,2019-06-27 14:48:59.676000,1.500000,2.526413e+02,5.147789e+02,3.486162e+02,3.982073e+02,3.894128e+02,3.435548e+02,2.585472e+02,1.266141e+02
45,2019-06-27 14:48:59.710000,1.534000,2.442087e+02,5.040468e+02,3.991376e+02,3.850963e+02,4.408735e+02,3.405179e+02,4.204069e+02,1.266102e+02
46,2019-06-27 14:48:59.743000,1.567000,3.261944e+02,4.974907e+02,3.479464e+02,2.992305e+02,4.714181e+02,3.276721e+02,4.395986e+02,1.273971e+02
47,2019-06-27 14:48:59.776000,1.600000,4.451901e+02,4.972619e+02,3.775652e+02,2.835494e+02,4.514056e+02,3.488785e+02,4.196952e+02,1.607881e+02
48,2019-06-27 14:48:59.809000,1.633000,4.375914e+02,4.981296e+02,3.819635e+02,3.200551e+02,4.252425e+02,3.715242e+02,4.183436e+02,1.802866e+02
49,2019-06-27 14:48:59.843000,1.667000,4.358565e+02,4.974608e+02,3.527656e+02,3.374305e+02,4.262049e+02,3.763362e+02,4.184838e+02,1.836811e+02
50,2019-06-27 14:48:59.876000,1.700000,4.330786e+02,4.953509e+02,3.287099e+02,3.365465e+02,4.321588e+02,3.732368e+02,4.206271e+02,1.843285e+02
51,2019-06-27 14:48:59.910000,1.734000,3.902659e+02,3.376874e+02,4.294165e+02,3.166788e+02,4.205538e+02,2.820806e+02,4.310357e+02,1.790666e+02
52,2019-06-27 14:48:59.943000,1.767000,3.652044e+02,2.192919e+02,4.509152e+02,3.019551e+02,4.164958e+02,2.346883e+02,4.123447e+02,1.659161e+02
53,2019-06-27 14:48:59.976000,1.800000,3.528847e+02,2.140469e+02,4.429657e+02,2.888393e+02,4.007122e+02,2.393867e+02,4.009193e+02,1.539533e+02
54,2019-06-27 14:49:00.010000,1.834000,3.455433e+02,2.126500e+02,4.305421e+02,2.795276e+02,3.921444e+02,2.434402e+02,3.994072e+02,1.441501e+02
55,2019-06-27 14:49:00.043000,1.867000,3.417458e+02,2.107668e+02,4.332921e+02,2.619272e+02,3.832942e+02,2.330943e+02,3.959902e+02,1.390614e+02
56,2019-06-27 14:49:00.076000,1.900000,3.448471e+02,2.063289e+02,4.361338e+02,2.669975e+02,3.808240e+02,2.292848e+02,3.893381e+02,1.359111e+02
