frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
0,2019-06-27 15:43:53.207000,0.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
1,2019-06-27 15:43:53.241000,0.034000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
2,2019-06-27 15:43:53.274000,0.067000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
3,2019-06-27 15:43:53.307000,0.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
4,2019-06-27 15:43:53.341000,0.134000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
5,2019-06-27 15:43:53.374000,0.167000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
6,2019-06-27 15:43:53.407000,0.200000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
7,2019-06-27 15:43:53.441000,0.234000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
8,2019-06-27 15:43:53.474000,0.267000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
9,2019-06-27 15:43:53.507000,0.300000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
10,2019-06-27 15:43:53.541000,0.334000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
11,2019-06-27 15:43:53.574000,0.367000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
12,2019-06-27 15:43:53.607000,0.400000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
13,2019-06-27 15:43:53.641000,0.434000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
14,2019-06-27 15:43:53.674000,0.467000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
15,2019-06-27 15:43:53.707000,0.500000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
16,2019-06-27 15:43:53.741000,0.534000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
17,2019-06-27 15:43:53.774000,0.567000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
18,2019-06-27 15:43:53.807000,0.600000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
19,2019-06-27 15:43:53.840000,0.633000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
20,2019-06-27 15:43:53.874000,0.667000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
21,2019-06-27 15:43:53.907000,0.700000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
22,2019-06-27 15:43:53.941000,0.734000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
23,2019-06-27 15:43:53.974000,0.767000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
24,2019-06-27 15:43:54.007000,0.800000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
25,2019-06-27 15:43:54.041000,0.834000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,8.109097e+01,7.999660e+01,7.999660e+01
26,2019-06-27 15:43:54.074000,0.867000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
27,2019-06-27 15:43:54.107000,0.900000,7.999660e+01,7.999660e+01,8.544807e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
28,2019-06-27 15:43:54.141000,0.934000,7.999660e+01,8.204361e+01,8.901397e+01,9.865766e+01,7.999660e+01,1.010613e+02,7.999660e+01,7.999660e+01
29,2019-06-27 15:43:54.174000,0.967000,7.999660e+01,1.276448e+02,8.795988e+01,1.094041e+02,8.399893e+01,9.365878e+01,7.999660e+01,7.999660e+01
30,2019-06-27 15:43:54.207000,1.000000,7.999660e+01,1.042722e+02,8.698295e+01,1.050560e+02,9.391293e+01,1.102259e+02,7.999660e+01,7.999660e+01
31,2019-06-27 15:43:54.241000,1.034000,7.999660e+01,1.008959e+02,8.504144e+01,1.018661e+02,9.269787e+01,1.032947e+02,7.999660e+01,7.999660e+01
32,2019-06-27 15:43:54.274000,1.067000,7.999660e+01,1.172357e+02,8.330560e+01,1.031402e+02,9.407144e+01,9.117265e+01,7.999660e+01,7.999660e+01
33,2019-06-27 15:43:54.307000,1.100000,7.999660e+01,1.117608e+02,8.343047e+01,1.030672e+02,8.996517e+01,8.927715e+01,7.999660e+01,7.999660e+01
34,2019-06-27 15:43:54.341000,1.134000,7.999660e+01,9.097312e+01,8.283562e+01,1.028308e+02,8.710512e+01,1.022504e+02,7.999660e+01,7.999660e+01
35,2019-06-27 15:43:54.374000,1.167000,7.999660e+01,8.533823e+01,8.220417e+01,1.209127e+02,8.532423e+01,1.010592e+02,7.999660e+01,7.999660e+01
36,2019-06-27 15:43:54.407000,1.200000,7.999660e+01,8.312473e+01,8.264555e+01,1.378444e+02,8.754348e+01,1.335824e+02,8.502976e+01,7.999660e+01
37,2019-06-27 15:43:54.440000,1.233000,8.312054e+01,8.781197e+01,9.853635e+01,1.395414e+02,1.023770e+02,1.571644e+02,9.660017e+01,8.001332e+01
38,2019-06-27 15:43:54.474000,1.267000,1.025466e+02,1.049376e+02,1.219717e+02,1.471156e+02,1.213878e+02,1.452735e+02,1.128463e+02,8.282660e+01
39,2019-06-27 15:43:54.507000,1.300000,1.145933e+02,2.076740e+02,1.342299e+02,1.569953e+02,1.320645e+02,1.493207e+02,1.182180e+02,9.143980e+01
40,2019-06-27 15:43:54.541000,1.334000,1.238777e+02,3.665829e+02,1.408530e+02,1.733766e+02,1.407016e+02,1.618207e+02,1.208438e+02,1.097623e+02
41,2019-06-27 15:43:54.574000,1.367000,1.434951e+02,3.387408e+02,1.601649e+02,3.228221e+02,2.061588e+02,2.219263e+02,1.705084e+02,1.138715e+02
42,2019-06-27 15:43:54.607000,1.400000,3.496107e+02,2.832184e+02,1.597815e+02,3.529395e+02,3.603989e+02,2.662607e+02,3.469048e+02,1.118827e+02
43,2019-06-27 15:43:54.641000,1.434000,3.893112e+02,2.089884e+02,2.548705e+02,3.350408e+02,3.820822e+02,2.496438e+02,3.653128e+02,1.092959e+02
44,2019-06-27 15:43:54.674000,1.467000,3.865956e+02,1.577529e+02,3.530328e+02,3.178205e+02,3.854243e+02,2.379242e+02,3.975293e+02,1.134957e+02
45,2019-06-27 15:43:54.707000,1.500000,3.799414e+02,2.370469e+02,3.561338e+02,3.374919e+02,3.721419e+02,2.988209e+02,3.357451e+02,1.417693e+02
46,2019-06-27 15:43:54.740000,1.533000,3.851245e+02,2.773329e+02,3.064807e+02,3.380137e+02,3.676941e+02,3.065143e+02,3.310088e+02,1.522009e+02
47,2019-06-27 15:43:54.774000,1.567000,3.862270e+02,2.351822e+02,2.857662e+02,3.526124e+02,3.641780e+02,3.012118e+02,3.630950e+02,1.597360e+02
48,2019-06-27 15:43:54.807000,1.600000,3.772614e+02,1.953832e+02,3.483703e+02,3.056186e+02,3.711067e+02,2.554765e+02,4.077091e+02,1.612377e+02
49,2019-06-27 15:43:54.840000,1.633000,3.489405e+02,1.756900e+02,3.550768e+02,2.301364e+02,3.788647e+02,1.963397e+02,4.028186e+02,1.583922e+02
50,2019-06-27 15:43:54.874000,1.667000,3.393895e+02,1.674651e+02,3.374838e+02,2.197271e+02,3.614734e+02,1.879947e+02,3.867478e+02,1.508711e+02
51,2019-06-27 15:43:54.907000,1.700000,3.278877e+02,1.653183e+02,3.231084e+02,2.123046e+02,3.409783e+02,1.773864e+02,3.766094e+02,1.447917e+02
52,2019-06-27 15:43:54.940000,1.733000,3.176238e+02,1.700286e+02,3.138577e+02,2.119583e+02,3.256426e+02,1.761970e+02,3.717384e+02,1.355534e+02
53,2019-06-27 15:43:54.974000,1.767000,3.115304e+02,1.703418e+02,3.080053e+02,2.102626e+02,3.162294e+02,1.718439e+02,3.753208e+02,1.300383e+02
54,2019-06-27 15:43:55.007000,1.800000,3.077027e+02,1.664924e+02,3.119360e+02,2.042336e+02,3.153475e+02,1.625923e+02,3.761637e+02,1.264158e+02
55,2019-06-27 15:43:55.040000,1.833000,3.089445e+02,1.629274e+02,3.247913e+02,1.998529e+02,3.159037e+02,1.546377e+02,3.753105e+02,1.250096e+02
56,2019-06-27 15:43:55.074000,1.867000,3.067312e+02,1.600662e+02,3.259326e+02,1.980792e+02,3.159036e+02,1.500064e+02,3.715325e+02,1.240378e+02
57,2019-06-27 15:43:55.107000,1.900000,3.035364e+02,1.592052e+02,3.209194e+02,1.983527e+02,3.184064e+02,1.633486e+02,3.691587e+02,1.234217e+02
58,2019-06-27 15:43:55.141000,1.934000,3.015063e+02,1.586009e+02,3.152384e+02,1.952493e+02,3.184031e+02,1.608653e+02,3.608039e+02,1.231617e+02
59,2019-06-27 15:43:55.174000,1.967000,2.930224e+02,1.593683e+02,3.054406e+02,1.938539e+02,3.158401e+02,1.561817e+02,3.408199e+02,1.210600e+02
60,2019-06-27 15:43:55.207000,2.000000,2.872133e+02,1.591408e+02,2.961002e+02,1.928356e+02,3.098681e+02,1.550836e+02,3.288561e+02,1.172354e+02
61,2019-06-27 15:43:55.240000,2.033000,2.870154e+02,1.576997e+02,2.991639e+02,1.880673e+02,3.092329e+02,1.515894e+02,3.282626e+02,1.118246e+02
62,2019-06-27 15:43:55.274000,2.067000,3.034475e+02,1.566400e+02,3.145802e+02,1.835500e+02,3.115337e+02,1.482644e+02,3.283780e+02,1.089831e+02
63,2019-06-27 15:43:55.307000,2.100000,3.101851e+02,1.646021e+02,3.093990e+02,1.853544e+02,3.107120e+02,1.500768e+02,3.313236e+02,1.010525e+02
64,2019-06-27 15:43:55.340000,2.133000,3.072850e+02,1.663632e+02,3.028909e+02,1.912426e+02,3.187697e+02,1.497773e+02,3.337281e+02,9.755603e+01
65,2019-06-27 15:43:55.374000,2.167000,2.978261e+02,1.595025e+02,3.120528e+02,1.941595e+02,3.205972e+02,1.576803e+02,3.338707e+02,1.030856e+02
66,2019-06-27 15:43:55.407000,2.200000,2.955865e+02,1.566437e+02,3.200581e+02,1.933822e+02,3.195910e+02,1.534065e+02,3.425673e+02,1.035675e+02
67,2019-06-27 15:43:55.440000,2.233000,2.930752e+02,1.567664e+02,3.141120e+02,1.979644e+02,3.200225e+02,1.435136e+02,3.440735e+02,1.002109e+02
68,2019-06-27 15:43:55.474000,2.267000,3.038509e+02,1.558947e+02,3.034342e+02,1.975012e+02,3.193026e+02,1.556204e+02,3.392255e+02,1.003233e+02
69,2019-06-27 15:43:55.507000,2.300000,3.058349e+02,1.508164e+02,3.027865e+02,1.922513e+02,3.152174e+02,1.469482e+02,3.368932e+02,1.009005e+02
70,2019-06-27 15:43:55.540000,2.333000,2.922687e+02,1.486475e+02,3.014829e+02,1.901539e+02,3.145462e+02,1.510723e+02,3.346092e+02,1.020010e+02
