frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
0,2019-06-27 15:47:21.415000,0.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
1,2019-06-27 15:47:21.448000,0.033000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
2,2019-06-27 15:47:21.481000,0.066000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
3,2019-06-27 15:47:21.515000,0.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
4,2019-06-27 15:47:21.548000,0.133000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
5,2019-06-27 15:47:21.581000,0.166000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
6,2019-06-27 15:47:21.615000,0.200000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
7,2019-06-27 15:47:21.648000,0.233000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
8,2019-06-27 15:47:21.681000,0.266000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
9,2019-06-27 15:47:21.715000,0.300000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
10,2019-06-27 15:47:21.748000,0.333000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
11,2019-06-27 15:47:21.781000,0.366000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
12,2019-06-27 15:47:21.815000,0.400000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
13,2019-06-27 15:47:21.848000,0.433000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
14,2019-06-27 15:47:21.881000,0.466000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
15,2019-06-27 15:47:21.915000,0.500000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
16,2019-06-27 15:47:21.948000,0.533000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
17,2019-06-27 15:47:21.981000,0.566000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
18,2019-06-27 15:47:22.015000,0.600000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
19,2019-06-27 15:47:22.048000,0.633000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
20,2019-06-27 15:47:22.081000,0.666000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
21,2019-06-27 15:47:22.115000,0.700000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
22,2019-06-27 15:47:22.148000,0.733000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
23,2019-06-27 15:47:22.181000,0.766000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
24,2019-06-27 15:47:22.215000,0.800000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
25,2019-06-27 15:47:22.248000,0.833000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
26,2019-06-27 15:47:22.281000,0.866000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
27,2019-06-27 15:47:22.315000,0.900000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
28,2019-06-27 15:47:22.348000,0.933000,7.999660e+01,7.999660e+01,7.999660e+01,8.075256e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
29,2019-06-27 15:47:22.381000,0.966000,7.999660e+01,7.999660e+01,7.999660e+01,8.273801e+01,8.711494e+01,7.999660e+01,7.999660e+01,7.999660e+01
30,2019-06-27 15:47:22.415000,1.000000,7.999660e+01,7.999660e+01,8.876550e+01,8.904897e+01,9.762047e+01,9.260354e+01,7.999660e+01,7.999660e+01
31,2019-06-27 15:47:22.448000,1.033000,7.999660e+01,7.999660e+01,9.175192e+01,9.126654e+01,9.763822e+01,8.459856e+01,7.999660e+01,7.999660e+01
32,2019-06-27 15:47:22.481000,1.066000,7.999660e+01,8.008751e+01,1.185324e+02,9.600332e+01,8.936030e+01,8.566854e+01,7.999660e+01,7.999660e+01
33,2019-06-27 15:47:22.515000,1.100000,7.999660e+01,8.063393e+01,1.152931e+02,1.132156e+02,8.827518e+01,1.020310e+02,7.999660e+01,7.999660e+01
34,2019-06-27 15:47:22.548000,1.133000,7.999660e+01,1.259453e+02,9.769259e+01,1.320050e+02,8.698844e+01,9.619498e+01,7.999660e+01,7.999660e+01
