frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
0,2019-06-27 15:39:51.831000,0.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
1,2019-06-27 15:39:51.864000,0.033000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
2,2019-06-27 15:39:51.897000,0.066000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
3,2019-06-27 15:39:51.931000,0.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
4,2019-06-27 15:39:51.964000,0.133000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
5,2019-06-27 15:39:51.997000,0.166000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,8.014046e+01,7.999660e+01,7.999660e+01
6,2019-06-27 15:39:52.031000,0.200000,7.999660e+01,7.999660e+01,7.999660e+01,8.177719e+01,7.999660e+01,8.155493e+01,7.999660e+01,7.999660e+01
7,2019-06-27 15:39:52.064000,0.233000,7.999660e+01,7.999660e+01,7.999660e+01,1.002103e+02,7.999660e+01,1.009407e+02,7.999660e+01,7.999660e+01
8,2019-06-27 15:39:52.097000,0.266000,7.999660e+01,7.999660e+01,7.999660e+01,1.088811e+02,8.013336e+01,1.399518e+02,8.122961e+01,7.999660e+01
9,2019-06-27 15:39:52.131000,0.300000,8.441103e+01,8.002377e+01,8.226687e+01,1.131163e+02,8.618474e+01,1.173633e+02,8.133986e+01,7.999660e+01
10,2019-06-27 15:39:52.164000,0.333000,8.477262e+01,8.304314e+01,8.822540e+01,1.171525e+02,9.539380e+01,1.191083e+02,8.104400e+01,7.999660e+01
11,2019-06-27 15:39:52.197000,0.366000,8.550566e+01,8.574895e+01,9.511479e+01,1.192240e+02,9.879016e+01,1.213867e+02,8.008122e+01,7.999660e+01
12,2019-06-27 15:39:52.231000,0.400000,8.688692e+01,8.878962e+01,9.813537e+01,1.248210e+02,1.020205e+02,1.385033e+02,7.999660e+01,7.999660e+01
13,2019-06-27 15:39:52.264000,0.433000,8.653046e+01,8.609562e+01,9.721220e+01,1.352388e+02,1.013093e+02,1.167944e+02,7.999660e+01,7.999660e+01
14,2019-06-27 15:39:52.297000,0.466000,8.593064e+01,8.533840e+01,9.454909e+01,1.235436e+02,9.606189e+01,1.061214e+02,7.999660e+01,7.999660e+01
15,2019-06-27 15:39:52.331000,0.500000,8.451031e+01,8.367021e+01,8.991837e+01,1.303254e+02,9.562353e+01,1.092389e+02,7.999660e+01,7.999660e+01
16,2019-06-27 15:39:52.364000,0.533000,8.560784e+01,8.535084e+01,8.932133e+01,1.389181e+02,1.010777e+02,1.212655e+02,7.999660e+01,7.999660e+01
17,2019-06-27 15:39:52.397000,0.566000,9.390107e+01,1.042630e+02,1.055881e+02,1.457358e+02,1.129477e+02,1.371920e+02,8.497550e+01,7.999660e+01
18,2019-06-27 15:39:52.431000,0.600000,1.139889e+02,1.167871e+02,1.290268e+02,1.601544e+02,1.313287e+02,1.537871e+02,9.957103e+01,8.750613e+01
19,2019-06-27 15:39:52.464000,0.633000,1.250861e+02,1.285348e+02,1.378935e+02,1.607419e+02,1.346851e+02,1.561987e+02,1.073749e+02,9.539342e+01
20,2019-06-27 15:39:52.497000,0.666000,1.423151e+02,1.750896e+02,1.483389e+02,1.659118e+02,1.406205e+02,1.612383e+02,1.142456e+02,1.079910e+02
21,2019-06-27 15:39:52.531000,0.700000,1.532619e+02,4.102255e+02,1.756188e+02,2.412204e+02,1.489617e+02,1.608858e+02,1.318004e+02,1.128864e+02
22,2019-06-27 15:39:52.564000,0.733000,2.338410e+02,4.383446e+02,3.659827e+02,3.116267e+02,3.176646e+02,1.616682e+02,2.516617e+02,1.126169e+02
23,2019-06-27 15:39:52.597000,0.766000,2.660291e+02,3.850304e+02,4.206992e+02,2.992316e+02,4.039821e+02,1.594703e+02,3.627735e+02,1.117310e+02
24,2019-06-27 15:39:52.631000,0.800000,3.549889e+02,2.499479e+02,4.697274e+02,3.038006e+02,4.098393e+02,1.598442e+02,3.823878e+02,1.187241e+02
25,2019-06-27 15:39:52.664000,0.833000,3.636345e+02,2.187643e+02,4.262752e+02,3.197995e+02,3.780069e+02,1.715068e+02,3.751968e+02,1.438230e+02
26,2019-06-27 15:39:52.697000,0.866000,3.493420e+02,2.746713e+02,4.076977e+02,3.066273e+02,3.637332e+02,1.854853e+02,3.798372e+02,1.554264e+02
27,2019-06-27 15:39:52.731000,0.900000,3.399546e+02,3.099568e+02,4.058921e+02,3.251925e+02,3.515942e+02,1.824218e+02,3.852714e+02,1.610236e+02
28,2019-06-27 15:39:52.764000,0.933000,3.532333e+02,3.008652e+02,4.179991e+02,3.391884e+02,3.628882e+02,1.780480e+02,3.889964e+02,1.640044e+02
29,2019-06-27 15:39:52.797000,0.966000,3.295539e+02,1.992237e+02,3.909521e+02,2.449587e+02,3.918288e+02,1.599653e+02,3.578237e+02,1.621829e+02
30,2019-06-27 15:39:52.831000,1.000000,3.189688e+02,1.844714e+02,3.769874e+02,2.204763e+02,3.907943e+02,1.476854e+02,3.379886e+02,1.526997e+02
31,2019-06-27 15:39:52.864000,1.033000,3.093518e+02,1.802320e+02,3.565520e+02,2.131948e+02,3.715591e+02,1.417126e+02,3.282906e+02,1.434342e+02
32,2019-06-27 15:39:52.897000,1.066000,3.075952e+02,1.747752e+02,3.495869e+02,2.121505e+02,3.624192e+02,1.393836e+02,3.200376e+02,1.357869e+02
33,2019-06-27 15:39:52.931000,1.100000,3.125953e+02,1.729434e+02,3.455545e+02,2.003182e+02,3.565045e+02,1.344529e+02,3.156086e+02,1.281888e+02
34,2019-06-27 15:39:52.964000,1.133000,3.193968e+02,1.722994e+02,3.433165e+02,1.975537e+02,3.588888e+02,1.313157e+02,3.137005e+02,1.250484e+02
35,2019-06-27 15:39:52.997000,1.166000,3.296481e+02,1.732498e+02,3.417014e+02,1.971463e+02,3.592859e+02,1.309047e+02,3.181071e+02,1.218700e+02
36,2019-06-27 15:39:53.031000,1.200000,3.261539e+02,1.770413e+02,3.421684e+02,1.979802e+02,3.502684e+02,1.332807e+02,3.127767e+02,1.215186e+02
37,2019-06-27 15:39:53.064000,1.233000,3.127603e+02,1.806825e+02,3.500557e+02,2.008349e+02,3.492955e+02,1.361888e+02,3.065096e+02,1.232005e+02
38,2019-06-27 15:39:53.097000,1.266000,3.049832e+02,1.825550e+02,3.494307e+02,1.996918e+02,3.503358e+02,1.341936e+02,3.027763e+02,1.211474e+02
39,2019-06-27 15:39:53.131000,1.300000,3.029133e+02,1.791767e+02,3.509430e+02,1.983179e+02,3.429266e+02,1.285747e+02,3.021360e+02,1.195786e+02
40,2019-06-27 15:39:53.164000,1.333000,3.089809e+02,1.778464e+02,3.498929e+02,1.929511e+02,3.397330e+02,1.260884e+02,3.011812e+02,1.196271e+02
41,2019-06-27 15:39:53.197000,1.366000,3.260726e+02,1.759066e+02,3.486290e+02,1.913387e+02,3.363375e+02,1.251524e+02,3.058352e+02,1.198551e+02
42,2019-06-27 15:39:53.231000,1.400000,3.259028e+02,1.727072e+02,3.484856e+02,1.895693e+02,3.370445e+02,1.335210e+02,3.062547e+02,1.211471e+02
43,2019-06-27 15:39:53.264000,1.433000,3.209884e+02,1.669618e+02,3.485584e+02,1.871817e+02,3.401704e+02,1.410489e+02,3.109751e+02,1.162438e+02
44,2019-06-27 15:39:53.297000,1.466000,3.161057e+02,1.677933e+02,3.423338e+02,1.842763e+02,3.395430e+02,1.403356e+02,3.207897e+02,1.117611e+02
45,2019-06-27 15:39:53.331000,1.500000,3.162328e+02,1.785601e+02,3.455701e+02,1.838081e+02,3.362268e+02,1.441247e+02,3.198057e+02,1.090538e+02
46,2019-06-27 15:39:53.364000,1.533000,3.336938e+02,1.789361e+02,3.501082e+02,1.829346e+02,3.340898e+02,1.472329e+02,3.188094e+02,1.066248e+02
47,2019-06-27 15:39:53.397000,1.566000,3.367132e+02,1.805371e+02,3.549287e+02,1.833087e+02,3.333391e+02,1.412263e+02,3.279753e+02,1.052933e+02
48,2019-06-27 15:39:53.431000,1.600000,3.315962e+02,1.880460e+02,3.537105e+02,1.852956e+02,3.364563e+02,1.298233e+02,3.351303e+02,1.067060e+02
49,2019-06-27 15:39:53.464000,1.633000,3.288441e+02,1.892455e+02,3.563719e+02,1.888691e+02,3.389835e+02,1.267627e+02,3.234640e+02,1.077698e+02
50,2019-06-27 15:39:53.497000,1.666000,3.278351e+02,1.936327e+02,3.594220e+02,1.927517e+02,3.373686e+02,1.271651e+02,3.119864e+02,1.135198e+02
51,2019-06-27 15:39:53.531000,1.700000,3.315960e+02,2.031387e+02,3.691444e+02,1.986130e+02,3.347339e+02,1.320367e+02,3.053743e+02,1.176649e+02
